v1,fips,cum_cases,cum_deaths,cases,deaths,date,state,week_case_diff,week_death_diff,week_case_growth,week_death_growth,day_case_diff,day_death_diff,day_case_growth,day_death_growth
1651,1,0,0,0,0,20feb2020,Alabama,0,0,0,0,0,0,0,0
1706,1,0,0,0,0,21feb2020,Alabama,0,0,0,0,0,0,0,0
1761,1,0,0,0,0,22feb2020,Alabama,0,0,0,0,0,0,0,0
1816,1,0,0,0,0,23feb2020,Alabama,0,0,0,0,0,0,0,0
1871,1,0,0,0,0,24feb2020,Alabama,0,0,0,0,0,0,0,0
1926,1,0,0,0,0,25feb2020,Alabama,0,0,0,0,0,0,0,0
1981,1,0,0,0,0,26feb2020,Alabama,0,0,0,0,0,0,0,0
2036,1,0,0,0,0,27feb2020,Alabama,0,0,0,0,0,0,0,0
2091,1,0,0,0,0,28feb2020,Alabama,0,0,0,0,0,0,0,0
2146,1,0,0,0,0,29feb2020,Alabama,0,0,0,0,0,0,0,0
2201,1,0,0,0,0,01mar2020,Alabama,0,0,0,0,0,0,0,0
2256,1,0,0,0,0,02mar2020,Alabama,0,0,0,0,0,0,0,0
2311,1,0,0,0,0,03mar2020,Alabama,0,0,0,0,0,0,0,0
2366,1,0,0,0,0,04mar2020,Alabama,0,0,0,0,0,0,0,0
2421,1,0,0,0,0,05mar2020,Alabama,0,0,0,0,0,0,0,0
2476,1,0,0,0,0,06mar2020,Alabama,0,0,0,0,0,0,0,0
2531,1,0,0,0,0,07mar2020,Alabama,0,0,0,0,0,0,0,0
2586,1,0,0,0,0,08mar2020,Alabama,0,0,0,0,0,0,0,0
2641,1,0,0,0,0,09mar2020,Alabama,0,0,0,0,0,0,0,0
2696,1,0,0,0,0,10mar2020,Alabama,0,0,0,0,0,0,0,0
2751,1,0,0,0,0,11mar2020,Alabama,0,0,0,0,0,0,0,0
2806,1,0,0,0,0,12mar2020,Alabama,0,0,0,0,0,0,0,0
2861,1,6,0,6,0,13mar2020,Alabama,1.945910149055313,0,1.945910149055313,0,1.945910149055313,0,1.945910149055313,0
2916,1,12,0,6,0,14mar2020,Alabama,2.564949357461537,0,2.564949357461537,0,1.945910149055313,0,0,0
2971,1,23,0,11,0,15mar2020,Alabama,3.178053830347946,0,3.178053830347946,0,2.484906649788,0,.5389965007326871,0
